IngredientID,IngredientCategoryID,IngredientName,SpeciesID,IngredientCutID,PlantID,PlantVarietyID
1,17,Agrimony,,,,
2,17,Ajwain,,,,
3,17,Albizia,,,,
4,17,Alkanet,,,,
5,17,Allspice,,,,
6,17,Aloe Vera,,,,
7,17,Amchur (Dried Mango Powder),,,63,
8,17,Angelica,,,,
9,17,Anise Hyssop,,,,
10,17,Annatto,,,,
11,17,Aronia Berry,,,,
12,17,Asafoetida,,,,
13,17,Ashwagandha,,,,
14,17,Astragalus,,,,
15,17,Bael Fruit,,,,
16,17,Baikal Skullcap,,,,
18,17,Bay Leaves,,,,
19,17,Betony,,,,
20,17,Bistort,,,,
21,17,Boldo,,,,
22,17,Boneset,,,,
23,17,Borage,,,,
24,17,Borututu,,,,
25,17,Burnet,,,,
26,17,Calamus,,,,
27,17,Calendula,,,,
28,17,Caraway,,,,
29,17,Cascara Sagrada,,,,
30,17,Catnip,,,,
32,17,Chamomile,,,,
33,17,Chaparral,,,,
34,17,Chervil,,,,
35,17,Chickweed,,,,
36,17,Chicory,,,,
37,17,Chinese Skullcap,,,,
38,17,Chives,,,,
39,17,Chrysanthemum,,,,
40,17,Cicely,,,,
44,17,Clivers,,,,
45,17,Cloves,,,,
46,17,Codonopsis,,,,
47,17,Coltsfoot,,,,
48,17,Comfrey,,,,
49,17,Condurango,,,,
51,17,Costmary,,,,
52,17,Costus,,,,
53,17,Cumin,,,,
54,17,Damiana,,,,
55,17,Deer Tongue,,,,
57,17,Dittany of Crete,,,,
58,17,Dong Quai,,,,
59,17,Echinacea,,,,
60,17,Elecampane,,,,
61,17,Epazote,,,,
62,17,Eucalyptus,,,,
63,17,False Unicorn Root,,,,
65,17,Fenugreek,,,,
66,17,Feverfew,,,,
67,17,Galangal,,,,
70,17,Goldenrod,,,,
71,17,Grains of Paradise,,,,
72,17,Gravel Root,,,,
73,17,Grindelia,,,,
74,17,Guarana,,,,
75,17,Hawthorn,,,,
76,17,Ho Shou Wu,,,,
77,17,Honeybush,,,,
78,17,Hoodia,,,,
79,17,Hops,,,,
80,17,Horehound,,,,
81,17,Horsetail,,,,
82,17,Hyssop,,,,
83,17,Iceland Moss,,,,
84,17,Indian Pipe,,,,
85,17,Irish Moss,,,,
86,17,Jiaogulan,,,,
87,17,Jujube,,,,
88,17,Kava Kava,,,,
89,17,Kelp,,,,
90,17,Kinnikinnick,,,,
91,17,Kudzu,,,,
93,17,Lemon Balm,,,,
95,17,Lemon Catnip,,,,
96,17,Lemon Gem Marigold,,,,
97,17,Lemon Grass,,,,
98,17,Lemon Ironbark,,,,
100,17,Lemon Myrtle,,,,
101,17,Lemon Savory,,,,
103,17,Lemon Scented Thyme,,,,
104,17,Lemon Thyme,,,,
105,17,Lemon Verbena,,,,
107,17,Lemonade Berry,,,,
108,17,Lemongrass,,,,
109,17,Lemonwood,,,,
110,17,Licorice,,,,
111,17,Licorice Root,,,,
112,17,Linden Flower,,,,
113,17,Lobelia,,,,
114,17,Lovage,,,,
115,17,Luo Han Guo,,,,
117,17,Maral Root,,,,
118,17,Marigold (Calendula),,,,
119,17,Marjoram,,,,
120,17,Marshmallow Root,,,,
121,17,Meadowsweet,,,,
122,13,Mexican Mint Marigold,,,,
124,17,Motherwort,,,,
125,17,Mugwort,,,,
126,17,Muira Puama,,,,
127,17,Mullein,,,,
128,17,Neem,,,,
129,17,Nettle,,,,
130,17,Noni,,,,
131,2,Nutmeg,,,106,0
134,17,Orris Root,,,,
135,17,Osha Root,,,,
137,17,Passion Flower,,,,
138,17,Pau DArco,,,,
139,17,Pennyroyal,,,,
141,17,Perilla,,,,
142,17,Pipsissewa,,,,
143,17,Prickly Ash,,,,
144,17,Quassia,,,,
145,17,Red Clover,,,,
146,17,Red Root,,,,
147,17,Rehmannia,,,,
148,17,Rock Rose,,,,
149,17,Rosehip,,,,
150,17,Rosemary,,,,
153,17,Salad Burnet,,,,
154,17,Sassafras,,,,
155,17,Savory,,,,
156,17,Saw Palmetto,,,,
157,17,Scented Geraniums,,,,
158,17,Sea Buckthorn,,,,
159,17,Self-Heal,,,,
160,17,Senega Root,,,,
161,17,Sheep Sorrel,,,,
162,17,Shepherds Purse,,,,
163,17,Shilajit,,,,
164,17,Slippery Elm,,,,
165,17,Soapwort,,,,
166,17,Solomons Seal,,,,
167,17,Sorrel,,,,
168,17,Southernwood,,,,
169,17,Spilanthes,,,,
170,17,St. Johns Wort,,,,
171,17,Star Anise,,,,
172,17,Stevia,,,,
173,17,Suma Root,,,,
174,17,Summer Savory,,,,
